,month,year,state,average_temp,monthly_mean_from_1901_to_2000,centroid_lon,centroid_lat
61,2,1950,Kansas,33.1,31.1,-98.38021317,38.48470815
62,2,1950,Kentucky,41.4,35.1,-85.29045609,37.52666746
63,2,1950,Louisiana,59.2,50.8,-92.58566202,31.05840696
64,2,1950,Maine,14.8,14,-69.22664746,45.37143349
65,2,1950,Maryland,39.6,33.1,-76.77245461,39.0369223
66,2,1950,Massachusetts,27.9,24.6,-71.79863942,42.2533024
67,2,1950,Michigan,20.6,18.6,-85.43716696,44.35068131
68,2,1950,Minnesota,4.2,9.3,-94.30901265,46.31633293
69,2,1950,Mississippi,55.6,46.7,-89.66521368,32.75086663
70,2,1950,Missouri,34.7,31.6,-92.47741016,38.36761316
71,2,1950,Montana,10.8,19,-109.6451486,47.03353642
72,2,1950,Nebraska,22.3,24.4,-99.81080907,41.52714896
73,2,1950,Nevada,31.9,32,-116.6552255,39.35623735
74,2,1950,New Hampshire,20.2,17.9,-71.57759415,43.68563175
75,2,1950,New Jersey,35,30.1,-74.66075411,40.18442736
76,2,1950,New Mexico,38.8,35.8,-106.1083886,34.42137076
77,2,1950,New York,24.5,20.3,-75.50311828,42.94039011
78,2,1950,North Carolina,48.5,41,-79.37237975,35.54153412
79,2,1950,North Dakota,-2,9.2,-100.4693211,47.44633852
80,2,1950,Ohio,34.1,27.9,-82.7900612,40.29145221
81,2,1950,Oklahoma,41.7,38.9,-97.50829271,35.58348565
82,2,1950,Oregon,27.6,32.2,-120.5554134,43.93664816
83,2,1950,Pennsylvania,31.6,25.9,-77.79955956,40.87383785
84,2,1950,Rhode Island,31,27.4,-71.55361205,41.67608139
85,2,1950,South Carolina,53.2,45.7,-80.89613969,33.90797425
86,2,1950,South Dakota,10.4,17.5,-100.2305075,44.4361607
87,2,1950,Tennessee,46,38.6,-86.34338037,35.84298709
88,2,1950,Texas,52.3,47.4,-99.35069715,31.48446438
89,2,1950,Utah,26.9,27.8,-111.6782164,39.32379475
90,2,1950,Vermont,19.2,15.8,-72.66264936,44.07519583
91,2,1950,Virginia,42.7,35.7,-78.81225447,37.51502389
92,2,1950,Washington,21.4,30.7,-120.4468664,47.38096888
93,2,1950,West Virginia,39,31.6,-80.61371197,38.64259874
94,2,1950,Wisconsin,13.4,14.5,-90.01169426,44.63803019
95,2,1950,Wyoming,20,20.3,-107.5514541,42.99964203
96,3,1950,Alabama,52.7,51.6,-86.82837194,32.78983219
97,3,1950,Arizona,49.1,47.1,-111.6644183,34.29310987
98,3,1950,Arkansas,47.4,47.2,-92.43926766,34.89974533
99,3,1950,California,47.3,47.1,-119.610699,37.24607067
100,3,1950,Colorado,32,30.5,-105.5478247,38.99855182
101,3,1950,Connecticut,28,30.9,-72.72570604,41.62028634
102,3,1950,Delaware,37.4,38.5,-75.40040409,38.88701645
103,3,1950,Florida,63.2,61.8,-81.79746387,28.62843926
104,3,1950,Georgia,52.6,52,-83.44634183,32.64922907
105,3,1950,Idaho,28.8,29.5,-114.6593823,44.08908951
106,3,1950,Illinois,32.7,34.5,-89.19839676,40.06504091
107,3,1950,Indiana,32.9,34.5,-86.27563973,39.90814123
108,3,1950,Iowa,25.4,28.7,-93.50006496,42.07462688
109,3,1950,Kansas,38.6,38,-98.38021317,38.48470815
110,3,1950,Kentucky,40.5,40.9,-85.29045609,37.52666746
111,3,1950,Louisiana,57,55.7,-92.58566202,31.05840696
112,3,1950,Maine,16.7,20.4,-69.22664746,45.37143349
113,3,1950,Maryland,37,38.2,-76.77245461,39.0369223
114,3,1950,Massachusetts,26.6,29.6,-71.79863942,42.2533024
115,3,1950,Michigan,21.6,24,-85.43716696,44.35068131
116,3,1950,Minnesota,14.7,18.7,-94.30901265,46.31633293
117,3,1950,Mississippi,53.2,52,-89.66521368,32.75086663
118,3,1950,Missouri,37.6,38.7,-92.47741016,38.36761316
119,3,1950,Montana,24.2,25.4,-109.6451486,47.03353642
120,3,1950,Nebraska,29.7,31.3,-99.81080907,41.52714896
121,3,1950,Nevada,37.8,36.8,-116.6552255,39.35623735
122,3,1950,New Hampshire,19.7,23.7,-71.57759415,43.68563175
123,3,1950,New Jersey,32.8,34.9,-74.66075411,40.18442736
124,3,1950,New Mexico,42.6,40.6,-106.1083886,34.42137076
125,3,1950,New York,22.2,25.7,-75.50311828,42.94039011
126,3,1950,North Carolina,46.2,45.6,-79.37237975,35.54153412
127,3,1950,North Dakota,13.1,18.3,-100.4693211,47.44633852
128,3,1950,Ohio,32.6,33.7,-82.7900612,40.29145221
129,3,1950,Oklahoma,46.3,45.3,-97.50829271,35.58348565
130,3,1950,Oregon,34.4,36.2,-120.5554134,43.93664816
131,3,1950,Pennsylvania,29.1,31.2,-77.79955956,40.87383785
132,3,1950,Rhode Island,29.4,32,-71.55361205,41.67608139
133,3,1950,South Carolina,50.8,50.3,-80.89613969,33.90797425
134,3,1950,South Dakota,20.9,25.3,-100.2305075,44.4361607
135,3,1950,Tennessee,44.6,44.3,-86.34338037,35.84298709
136,3,1950,Texas,54.4,52.8,-99.35069715,31.48446438
137,3,1950,Utah,34,33.8,-111.6782164,39.32379475
138,3,1950,Vermont,17.8,21.9,-72.66264936,44.07519583
139,3,1950,Virginia,40.2,40.7,-78.81225447,37.51502389
140,3,1950,Washington,33,35.8,-120.4468664,47.38096888
141,3,1950,West Virginia,36.2,36.9,-80.61371197,38.64259874
142,3,1950,Wisconsin,18.8,22.4,-90.01169426,44.63803019
143,3,1950,Wyoming,26.6,25.7,-107.5514541,42.99964203
144,4,1950,Alabama,55.7,59,-86.82837194,32.78983219
145,4,1950,Arizona,55.4,53.1,-111.6644183,34.29310987
146,4,1950,Arkansas,53.2,55.8,-92.43926766,34.89974533
147,4,1950,California,52.4,51.4,-119.610699,37.24607067
148,4,1950,Colorado,38.1,38.1,-105.5478247,38.99855182
149,4,1950,Connecticut,37.2,40.7,-72.72570604,41.62028634
150,4,1950,Delaware,44.3,47.4,-75.40040409,38.88701645
151,4,1950,Florida,64.4,66.7,-81.79746387,28.62843926
152,4,1950,Georgia,55.8,59.1,-83.44634183,32.64922907
153,4,1950,Idaho,35,36.7,-114.6593823,44.08908951
154,4,1950,Illinois,40.9,45.7,-89.19839676,40.06504091
155,4,1950,Indiana,40.4,45,-86.27563973,39.90814123
156,4,1950,Iowa,35.6,41.4,-93.50006496,42.07462688
157,4,1950,Kansas,45.4,47.9,-98.38021317,38.48470815
158,4,1950,Kentucky,46.6,50.2,-85.29045609,37.52666746
159,4,1950,Louisiana,60,62.6,-92.58566202,31.05840696
160,4,1950,Maine,29.4,32.1,-69.22664746,45.37143349
161,4,1950,Maryland,43.8,47.3,-76.77245461,39.0369223
162,4,1950,Massachusetts,36.2,39.5,-71.79863942,42.2533024
163,4,1950,Michigan,29.5,35.4,-85.43716696,44.35068131
164,4,1950,Minnesota,25.5,33.3,-94.30901265,46.31633293
165,4,1950,Mississippi,56.6,59.6,-89.66521368,32.75086663
166,4,1950,Missouri,45,49,-92.47741016,38.36761316
167,4,1950,Montana,30.6,35,-109.6451486,47.03353642
168,4,1950,Nebraska,37,41.8,-99.81080907,41.52714896
169,4,1950,Nevada,43.4,43,-116.6552255,39.35623735
170,4,1950,New Hampshire,31,34.8,-71.57759415,43.68563175
171,4,1950,New Jersey,40.8,44.3,-74.66075411,40.18442736
172,4,1950,New Mexico,48.8,47.4,-106.1083886,34.42137076
173,4,1950,New York,31.8,36.6,-75.50311828,42.94039011
174,4,1950,North Carolina,51.5,53.6,-79.37237975,35.54153412
175,4,1950,North Dakota,25.2,33,-100.4693211,47.44633852
176,4,1950,Ohio,39.2,43.8,-82.7900612,40.29145221
177,4,1950,Oklahoma,53,54.4,-97.50829271,35.58348565
178,4,1950,Oregon,39.2,41.1,-120.5554134,43.93664816
179,4,1950,Pennsylvania,36.6,41.3,-77.79955956,40.87383785
180,4,1950,Rhode Island,37.9,40.9,-71.55361205,41.67608139
181,4,1950,South Carolina,55.4,57.9,-80.89613969,33.90797425
182,4,1950,South Dakota,30.1,37.8,-100.2305075,44.4361607
183,4,1950,Tennessee,49.6,53,-86.34338037,35.84298709
184,4,1950,Texas,60,60.6,-99.35069715,31.48446438
185,4,1950,Utah,41.6,41.4,-111.6782164,39.32379475
186,4,1950,Vermont,29.1,33.5,-72.66264936,44.07519583
187,4,1950,Virginia,46.6,49.3,-78.81225447,37.51502389
188,4,1950,Washington,39.1,41.8,-120.4468664,47.38096888
189,4,1950,West Virginia,42.4,46,-80.61371197,38.64259874
190,4,1950,Wisconsin,28.4,35.4,-90.01169426,44.63803019
191,4,1950,Wyoming,32,33.9,-107.5514541,42.99964203
192,5,1950,Alabama,66.4,66.7,-86.82837194,32.78983219
193,5,1950,Arizona,61.8,60.8,-111.6644183,34.29310987
194,5,1950,Arkansas,63.8,64.6,-92.43926766,34.89974533
195,5,1950,California,58.6,57.4,-119.610699,37.24607067
196,5,1950,Colorado,46.2,47.1,-105.5478247,38.99855182
197,5,1950,Connecticut,49.2,51.4,-72.72570604,41.62028634
198,5,1950,Delaware,54.7,57.1,-75.40040409,38.88701645
199,5,1950,Florida,70.8,72.2,-81.79746387,28.62843926
200,5,1950,Georgia,66.4,67,-83.44634183,32.64922907
201,5,1950,Idaho,42.6,45.1,-114.6593823,44.08908951
202,5,1950,Illinois,54.6,56.8,-89.19839676,40.06504091
203,5,1950,Indiana,54,55.9,-86.27563973,39.90814123
204,5,1950,Iowa,50.2,53.9,-93.50006496,42.07462688
205,5,1950,Kansas,57.1,58.4,-98.38021317,38.48470815
206,5,1950,Kentucky,58.6,59.8,-85.29045609,37.52666746
207,5,1950,Louisiana,69.4,69.9,-92.58566202,31.05840696
208,5,1950,Maine,44.5,44.4,-69.22664746,45.37143349
209,5,1950,Maryland,55,57.2,-76.77245461,39.0369223
210,5,1950,Massachusetts,48.6,50.2,-71.79863942,42.2533024
211,5,1950,Michigan,44.2,47.7,-85.43716696,44.35068131
212,5,1950,Minnesota,41.4,47.8,-94.30901265,46.31633293
213,5,1950,Mississippi,67,67.4,-89.66521368,32.75086663
214,5,1950,Missouri,57.7,59.4,-92.47741016,38.36761316
215,5,1950,Montana,41.7,45.5,-109.6451486,47.03353642
216,5,1950,Nebraska,49.1,53,-99.81080907,41.52714896
217,5,1950,Nevada,50.8,50.8,-116.6552255,39.35623735
218,5,1950,New Hampshire,45.8,46.7,-71.57759415,43.68563175
219,5,1950,New Jersey,52.1,54.6,-74.66075411,40.18442736
220,5,1950,New Mexico,56.6,55.8,-106.1083886,34.42137076
221,5,1950,New York,46.8,48.6,-75.50311828,42.94039011
222,5,1950,North Carolina,62,62.2,-79.37237975,35.54153412
223,5,1950,North Dakota,40.5,47.5,-100.4693211,47.44633852
224,5,1950,Ohio,52.7,54.6,-82.7900612,40.29145221
225,5,1950,Oklahoma,63.5,63.7,-97.50829271,35.58348565
226,5,1950,Oregon,45.6,47.2,-120.5554134,43.93664816
227,5,1950,Pennsylvania,50,52.2,-77.79955956,40.87383785
228,5,1950,Rhode Island,48.7,50.9,-71.55361205,41.67608139
229,5,1950,South Carolina,66.2,66.2,-80.89613969,33.90797425
230,5,1950,South Dakota,44.4,50.3,-100.2305075,44.4361607
231,5,1950,Tennessee,61.4,61.9,-86.34338037,35.84298709
232,5,1950,Texas,68.9,68.6,-99.35069715,31.48446438
233,5,1950,Utah,49,50,-111.6782164,39.32379475
234,5,1950,Vermont,45,46,-72.66264936,44.07519583
235,5,1950,Virginia,57.6,58.6,-78.81225447,37.51502389
236,5,1950,Washington,45.8,48.5,-120.4468664,47.38096888
237,5,1950,West Virginia,54.7,55.7,-80.61371197,38.64259874
238,5,1950,Wisconsin,43.9,48.6,-90.01169426,44.63803019
239,5,1950,Wyoming,40.2,43.6,-107.5514541,42.99964203
240,6,1950,Alabama,75.6,74,-86.82837194,32.78983219
241,6,1950,Arizona,68.5,69.7,-111.6644183,34.29310987
242,6,1950,Arkansas,73,72.5,-92.43926766,34.89974533
243,6,1950,California,64,64.5,-119.610699,37.24607067
244,6,1950,Colorado,55.4,56.6,-105.5478247,38.99855182
245,6,1950,Connecticut,60.1,61.1,-72.72570604,41.62028634
246,6,1950,Delaware,65,66.4,-75.40040409,38.88701645
247,6,1950,Florida,78.8,77.3,-81.79746387,28.62843926
248,6,1950,Georgia,75.9,74.2,-83.44634183,32.64922907
249,6,1950,Idaho,50.6,52.9,-114.6593823,44.08908951
250,6,1950,Illinois,66.8,66.8,-89.19839676,40.06504091
251,6,1950,Indiana,65.9,65.9,-86.27563973,39.90814123
252,6,1950,Iowa,63.4,64.5,-93.50006496,42.07462688
253,6,1950,Kansas,68.9,68.4,-98.38021317,38.48470815
254,6,1950,Kentucky,68.8,68.5,-85.29045609,37.52666746
255,6,1950,Louisiana,77.3,76.6,-92.58566202,31.05840696
256,6,1950,Maine,56.1,55.2,-69.22664746,45.37143349
257,6,1950,Maryland,65.6,66.5,-76.77245461,39.0369223
258,6,1950,Massachusetts,59.6,60,-71.79863942,42.2533024
259,6,1950,Michigan,58.2,58.4,-85.43716696,44.35068131
260,6,1950,Minnesota,57.1,59,-94.30901265,46.31633293
261,6,1950,Mississippi,76,74.8,-89.66521368,32.75086663
262,6,1950,Missouri,68.6,68.6,-92.47741016,38.36761316
263,6,1950,Montana,51.2,54.3,-109.6451486,47.03353642
264,6,1950,Nebraska,61.7,63.3,-99.81080907,41.52714896
265,6,1950,Nevada,58.1,59.4,-116.6552255,39.35623735
266,6,1950,New Hampshire,57.8,57,-71.57759415,43.68563175
267,6,1950,New Jersey,62.7,64.2,-74.66075411,40.18442736
268,6,1950,New Mexico,64.9,64.7,-106.1083886,34.42137076
269,6,1950,New York,58.8,59,-75.50311828,42.94039011
270,6,1950,North Carolina,70.9,70,-79.37237975,35.54153412
271,6,1950,North Dakota,55.5,58.3,-100.4693211,47.44633852
272,6,1950,Ohio,64.3,64.5,-82.7900612,40.29145221
273,6,1950,Oklahoma,72.8,72.5,-97.50829271,35.58348565
274,6,1950,Oregon,52.8,53.9,-120.5554134,43.93664816
275,6,1950,Pennsylvania,61.2,61.8,-77.79955956,40.87383785
276,6,1950,Rhode Island,59,60.3,-71.55361205,41.67608139
277,6,1950,South Carolina,75.4,73.7,-80.89613969,33.90797425
278,6,1950,South Dakota,58.6,60.8,-100.2305075,44.4361607
279,6,1950,Tennessee,71.2,70,-86.34338037,35.84298709
280,6,1950,Texas,76.3,76,-99.35069715,31.48446438
281,6,1950,Utah,57.1,59.3,-111.6782164,39.32379475
282,6,1950,Vermont,57.5,56.6,-72.66264936,44.07519583
283,6,1950,Virginia,67.1,67,-78.81225447,37.51502389
284,6,1950,Washington,53.4,54.7,-120.4468664,47.38096888
285,6,1950,West Virginia,64.8,64.3,-80.61371197,38.64259874
286,6,1950,Wisconsin,58.4,59.4,-90.01169426,44.63803019
287,6,1950,Wyoming,49.6,53.1,-107.5514541,42.99964203
288,7,1950,Alabama,77.6,78.8,-86.82837194,32.78983219
289,7,1950,Arizona,75.6,77.1,-111.6644183,34.29310987
290,7,1950,Arkansas,76.6,78.4,-92.43926766,34.89974533
291,7,1950,California,71.4,71.5,-119.610699,37.24607067
292,7,1950,Colorado,62.8,64.2,-105.5478247,38.99855182
293,7,1950,Connecticut,67.3,68,-72.72570604,41.62028634
294,7,1950,Delaware,72,73.1,-75.40040409,38.88701645
295,7,1950,Florida,80.4,80.2,-81.79746387,28.62843926
296,7,1950,Georgia,78.2,78.6,-83.44634183,32.64922907
297,7,1950,Idaho,59.5,60.9,-114.6593823,44.08908951
298,7,1950,Illinois,71.1,73.5,-89.19839676,40.06504091
299,7,1950,Indiana,70.2,72.5,-86.27563973,39.90814123
300,7,1950,Iowa,68.4,71.5,-93.50006496,42.07462688
301,7,1950,Kansas,73.7,76.1,-98.38021317,38.48470815
302,7,1950,Kentucky,72,74.4,-85.29045609,37.52666746
303,7,1950,Louisiana,79.6,80.8,-92.58566202,31.05840696
304,7,1950,Maine,62.5,62.6,-69.22664746,45.37143349
305,7,1950,Maryland,71.6,72.9,-76.77245461,39.0369223
306,7,1950,Massachusetts,67,67,-71.79863942,42.2533024
307,7,1950,Michigan,64.1,65.7,-85.43716696,44.35068131
308,7,1950,Minnesota,64.7,66.3,-94.30901265,46.31633293
309,7,1950,Mississippi,78.3,79.6,-89.66521368,32.75086663
310,7,1950,Missouri,72.1,75.3,-92.47741016,38.36761316
311,7,1950,Montana,59.2,62,-109.6451486,47.03353642
312,7,1950,Nebraska,68.6,71.5,-99.81080907,41.52714896
313,7,1950,Nevada,67.4,68,-116.6552255,39.35623735
314,7,1950,New Hampshire,64.6,64.1,-71.57759415,43.68563175
315,7,1950,New Jersey,69.8,71,-74.66075411,40.18442736
316,7,1950,New Mexico,70.4,70.9,-106.1083886,34.42137076
317,7,1950,New York,64.8,65.8,-75.50311828,42.94039011
318,7,1950,North Carolina,74.6,75.2,-79.37237975,35.54153412
319,7,1950,North Dakota,64,66,-100.4693211,47.44633852
320,7,1950,Ohio,68.8,70.9,-82.7900612,40.29145221
321,7,1950,Oklahoma,76.7,79.3,-97.50829271,35.58348565
322,7,1950,Oregon,60.8,61,-120.5554134,43.93664816
323,7,1950,Pennsylvania,66.4,68.2,-77.79955956,40.87383785
324,7,1950,Rhode Island,67.2,67.5,-71.55361205,41.67608139
325,7,1950,South Carolina,78.2,78.4,-80.89613969,33.90797425
326,7,1950,South Dakota,66.6,69.2,-100.2305075,44.4361607
327,7,1950,Tennessee,73.8,75.5,-86.34338037,35.84298709
328,7,1950,Texas,79.8,80.9,-99.35069715,31.48446438
329,7,1950,Utah,66,67.8,-111.6782164,39.32379475
330,7,1950,Vermont,63.7,63.5,-72.66264936,44.07519583
331,7,1950,Virginia,71.7,72.8,-78.81225447,37.51502389
332,7,1950,Washington,60.8,60.9,-120.4468664,47.38096888
333,7,1950,West Virginia,68.6,70,-80.61371197,38.64259874
334,7,1950,Wisconsin,64.6,66.6,-90.01169426,44.63803019
335,7,1950,Wyoming,58.5,61.4,-107.5514541,42.99964203
336,8,1950,Alabama,77.3,79.6,-86.82837194,32.78983219
337,8,1950,Arizona,77.4,78.8,-111.6644183,34.29310987
338,8,1950,Arkansas,76.2,79.8,-92.43926766,34.89974533
339,8,1950,California,75.1,74.2,-119.610699,37.24607067
340,8,1950,Colorado,63.4,66.2,-105.5478247,38.99855182
341,8,1950,Connecticut,68.6,69.6,-72.72570604,41.62028634
342,8,1950,Delaware,73.2,74.6,-75.40040409,38.88701645
343,8,1950,Florida,80.2,81,-81.79746387,28.62843926
344,8,1950,Georgia,77.6,79.3,-83.44634183,32.64922907
345,8,1950,Idaho,63.4,64.3,-114.6593823,44.08908951
346,8,1950,Illinois,70.6,74.5,-89.19839676,40.06504091
347,8,1950,Indiana,70.5,73.4,-86.27563973,39.90814123
348,8,1950,Iowa,67.9,72.6,-93.50006496,42.07462688
349,8,1950,Kansas,72.2,78.1,-98.38021317,38.48470815
350,8,1950,Kentucky,71.9,75.5,-85.29045609,37.52666746
351,8,1950,Louisiana,80.3,81.7,-92.58566202,31.05840696
352,8,1950,Maine,63.5,64.2,-69.22664746,45.37143349
353,8,1950,Maryland,72.6,74.2,-76.77245461,39.0369223
354,8,1950,Massachusetts,68,68.6,-71.79863942,42.2533024
355,8,1950,Michigan,63.8,67,-85.43716696,44.35068131
356,8,1950,Minnesota,64.2,67.5,-94.30901265,46.31633293
357,8,1950,Mississippi,78.2,80.5,-89.66521368,32.75086663
358,8,1950,Missouri,71.2,76.8,-92.47741016,38.36761316
359,8,1950,Montana,62,64.8,-109.6451486,47.03353642
360,8,1950,Nebraska,68.6,73.4,-99.81080907,41.52714896
361,8,1950,Nevada,71,71.1,-116.6552255,39.35623735
362,8,1950,New Hampshire,65.2,65.3,-71.57759415,43.68563175
363,8,1950,New Jersey,71.1,72.5,-74.66075411,40.18442736
364,8,1950,New Mexico,70.2,71.8,-106.1083886,34.42137076
365,8,1950,New York,66.1,67.1,-75.50311828,42.94039011
366,8,1950,North Carolina,74.7,76.3,-79.37237975,35.54153412
367,8,1950,North Dakota,64.7,68,-100.4693211,47.44633852
368,8,1950,Ohio,69.4,72,-82.7900612,40.29145221
369,8,1950,Oklahoma,76.1,81.3,-97.50829271,35.58348565
370,8,1950,Oregon,65.1,64.3,-120.5554134,43.93664816
371,8,1950,Pennsylvania,67.6,69.4,-77.79955956,40.87383785
372,8,1950,Rhode Island,68.9,69.5,-71.55361205,41.67608139
373,8,1950,South Carolina,77.6,79.3,-80.89613969,33.90797425
374,8,1950,South Dakota,67.3,71.5,-100.2305075,44.4361607
375,8,1950,Tennessee,73.1,76.5,-86.34338037,35.84298709
376,8,1950,Texas,80.4,82.1,-99.35069715,31.48446438
377,8,1950,Utah,68.8,70.5,-111.6782164,39.32379475
378,8,1950,Vermont,63.9,64.6,-72.66264936,44.07519583
379,8,1950,Virginia,72.2,73.9,-78.81225447,37.51502389
380,8,1950,Washington,64.2,63.7,-120.4468664,47.38096888
381,8,1950,West Virginia,69.2,71.1,-80.61371197,38.64259874
382,8,1950,Wisconsin,63.6,67.6,-90.01169426,44.63803019
383,8,1950,Wyoming,61,64.4,-107.5514541,42.99964203
384,9,1950,Alabama,74.6,77,-86.82837194,32.78983219
385,9,1950,Arizona,73.2,74.9,-111.6644183,34.29310987
386,9,1950,Arkansas,72.6,76,-92.43926766,34.89974533
387,9,1950,California,71,71.1,-119.610699,37.24607067
388,9,1950,Colorado,59.2,61.3,-105.5478247,38.99855182
389,9,1950,Connecticut,63,65,-72.72570604,41.62028634
390,9,1950,Delaware,68.4,70.6,-75.40040409,38.88701645
391,9,1950,Florida,79.4,80.1,-81.79746387,28.62843926
392,9,1950,Georgia,74.9,76.8,-83.44634183,32.64922907
393,9,1950,Idaho,59,59.2,-114.6593823,44.08908951
394,9,1950,Illinois,66.8,69.8,-89.19839676,40.06504091
395,9,1950,Indiana,66.7,69,-86.27563973,39.90814123
396,9,1950,Iowa,64.4,67.2,-93.50006496,42.07462688
397,9,1950,Kansas,68.6,72.9,-98.38021317,38.48470815
398,9,1950,Kentucky,68.6,71.8,-85.29045609,37.52666746
399,9,1950,Louisiana,78.3,79.4,-92.58566202,31.05840696
400,9,1950,Maine,56.6,58.9,-69.22664746,45.37143349
401,9,1950,Maryland,68,70.1,-76.77245461,39.0369223
402,9,1950,Massachusetts,62.1,63.9,-71.79863942,42.2533024
403,9,1950,Michigan,59.8,62.2,-85.43716696,44.35068131
404,9,1950,Minnesota,60.2,61.5,-94.30901265,46.31633293
405,9,1950,Mississippi,75.4,77.7,-89.66521368,32.75086663
406,9,1950,Missouri,67.9,72.1,-92.47741016,38.36761316
407,9,1950,Montana,57.1,58.9,-109.6451486,47.03353642
408,9,1950,Nebraska,64.5,67.6,-99.81080907,41.52714896
409,9,1950,Nevada,65.6,66,-116.6552255,39.35623735
410,9,1950,New Hampshire,58.6,60.3,-71.57759415,43.68563175
411,9,1950,New Jersey,65.9,68.2,-74.66075411,40.18442736
412,9,1950,New Mexico,66.2,67.7,-106.1083886,34.42137076
413,9,1950,New York,60.8,62.5,-75.50311828,42.94039011
414,9,1950,North Carolina,71.4,72.9,-79.37237975,35.54153412
415,9,1950,North Dakota,60.3,61.6,-100.4693211,47.44633852
416,9,1950,Ohio,65.6,67.8,-82.7900612,40.29145221
417,9,1950,Oklahoma,72.9,77,-97.50829271,35.58348565
418,9,1950,Oregon,61.5,60.6,-120.5554134,43.93664816
419,9,1950,Pennsylvania,63.2,65,-77.79955956,40.87383785
420,9,1950,Rhode Island,63.4,65.3,-71.55361205,41.67608139
421,9,1950,South Carolina,74.4,76.2,-80.89613969,33.90797425
422,9,1950,South Dakota,63.1,65.3,-100.2305075,44.4361607
